mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__max_depth,param_model__n_estimators,param_model__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.32160401344299316,0.2684837222727348,0.017667675018310548,0.00295698170208837,0.05,3,100,0.8,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.6123778501628665,0.6486486486486487,0.6188925081433225,0.60431654676259,0.5591397849462365,0.6086750677327328,0.02894385877278793,15,0.6661115736885929,0.664440734557596,0.6695059625212947,0.6526492851135408,0.6717948717948717,0.6649004855351792,0.006640978804594348
0.10389046669006348,0.0047371786437845,0.018765020370483398,0.001766901809475314,0.05,3,100,1.0,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.6129032258064516,0.6245847176079734,0.6209150326797386,0.5949820788530465,0.5663082437275986,0.6039386597349617,0.0214060222315474,16,0.6616791354945969,0.6638865721434529,0.6655319148936171,0.6554903604358759,0.6536170212765957,0.6600410008488278,0.004681834735644216
0.17309484481811524,0.0074577611754395885,0.0178070068359375,0.0005113823868784759,0.05,3,200,0.8,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.6266666666666667,0.6735395189003437,0.6308724832214765,0.6428571428571429,0.5765124555160143,0.6300896534323288,0.03141256243238347,11,0.7040133779264214,0.7156118143459915,0.7230769230769231,0.7132043734230445,0.7268041237113402,0.7165421224967442,0.007962258099230502
0.16971611976623535,0.009122866107990298,0.018059682846069337,0.00041498679009834856,0.05,3,200,1.0,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.6319218241042345,0.6204620462046204,0.6174496644295302,0.5971223021582733,0.6041666666666666,0.614224500712665,0.012297553667955832,14,0.7011007620660458,0.6930193439865433,0.7023809523809523,0.701255230125523,0.7162393162393162,0.7027991209596761,0.007506340967457671
0.1499316692352295,0.0027851587488131064,0.017371368408203126,0.00033340907612079636,0.05,5,100,0.8,"{'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.7,0.7188612099644128,0.7152777777777778,0.6509803921568628,0.6539923954372624,0.6878223550672631,0.02955436409502314,7,0.8242753623188406,0.8395285584768812,0.8454545454545455,0.832579185520362,0.8355795148247979,0.8354834333190855,0.007068958300044077
0.15650515556335448,0.012120069554376557,0.017457246780395508,0.0006076421615827122,0.05,5,100,1.0,"{'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.6872852233676976,0.6830985915492958,0.6759581881533101,0.6640625,0.6541353383458647,0.6729079682832336,0.012251628883421616,8,0.8184233835252436,0.8258887876025525,0.8239564428312159,0.8132854578096947,0.8271493212669683,0.8217406786071351,0.005174264008536014
0.2598010540008545,0.008291282868718887,0.01932663917541504,0.0006347204005139517,0.05,5,200,0.8,"{'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.7434944237918215,0.7434944237918215,0.75,0.6859504132231405,0.717741935483871,0.728136239258131,0.023822078697399805,3,0.9213270142180094,0.9258555133079848,0.9285033365109628,0.9166666666666666,0.9198868991517436,0.9224478859710734,0.00423126243406282
0.2907854080200195,0.04453601577554297,0.019754886627197266,0.001329668833162348,0.05,5,200,1.0,"{'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.7220216606498195,0.7352941176470589,0.7246376811594203,0.680327868852459,0.6932270916334662,0.7111016839884448,0.02075703112636563,5,0.89322191272052,0.9154795821462488,0.9073724007561437,0.9132075471698113,0.9146110056925996,0.9087784896970647,0.008276757895269339
0.16899361610412597,0.023142247999593708,0.02922229766845703,0.0045699793960238535,0.1,3,100,0.8,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.6245847176079734,0.6644518272425249,0.64,0.6379928315412187,0.5653710247349824,0.6264800802253399,0.03315145338438882,12,0.7070707070707071,0.7121212121212122,0.7246376811594203,0.7087542087542088,0.7161125319693095,0.7137392682149716,0.006266520831211972
0.18552718162536622,0.02334800533429971,0.025955009460449218,0.009745673331358291,0.1,3,100,1.0,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.6129032258064516,0.6209150326797386,0.6283783783783784,0.6164874551971327,0.5985915492957746,0.6154551282714952,0.009887154802217558,13,0.7022900763358778,0.6967418546365914,0.7070879590093937,0.7045075125208681,0.71733561058924,0.7055926026183942,0.006790495816113835
